objectid,no_prop,no_kab,no_kec,no_kel,KABUPATEN,KECAMATAN,KELURAHAN,kepadatan_penduduk,wighted education score,weighted_employment_score,Kab_Gini_2018,Kab_Gini_2019,Kab_Gini_2020,Kab_Gini_2021,Kab_Gini_2022,Kab_Gini_2023,desa_gini_2018,desa_gini_2019,desa_gini_2020,desa_gini_2021,desa_gini_2022,desa_gini_2023
419552,35,26,17,2006,KAB. BANGKALAN,KONANG,SEN ASEN,2.74013666,819.6,1456.4,0.287,0.314,0.322,0.303,0.306,0.299,0.27665191,0.302678396,0.310389948,0.292075013,0.294966845,0.288219237
419883,35,26,17,2010,KAB. BANGKALAN,KONANG,KANEGARAH,1.29282184,363.2,812.8,0.287,0.314,0.322,0.303,0.306,0.299,0.136481325,0.149321031,0.153125389,0.14409004,0.145516674,0.142187861
419885,35,26,18,2021,KAB. BANGKALAN,GALIS,SORPA,0.97076931,289,537.8,0.287,0.314,0.322,0.303,0.306,0.299,0.099324314,0.108668413,0.111437035,0.104861558,0.105899791,0.103477247
425602,35,26,2,2006,KAB. BANGKALAN,SOCAH,BULUH,3.55564437,1260.4,1695.4,0.287,0.314,0.322,0.303,0.306,0.299,0.366221922,0.400674855,0.410883132,0.386638475,0.390466579,0.381534337
425612,35,26,7,2021,KAB. BANGKALAN,KLAMPIS,LARANGAN GLINTONG,1.95844831,598.1,933.4,0.287,0.314,0.322,0.303,0.306,0.299,0.191836389,0.209883715,0.215231071,0.202531101,0.204536359,0.199857423
425620,35,26,11,2016,KAB. BANGKALAN,KWANYAR,DUWEK BUTER,1.69404241,534.6,781.9,0.287,0.314,0.322,0.303,0.306,0.299,0.166008567,0.181626097,0.186253514,0.1752634,0.176998681,0.172949691
425624,35,26,12,2004,KAB. BANGKALAN,LABANG,PANGPONG,2.39809997,868.4,1323.5,0.287,0.314,0.322,0.303,0.306,0.299,0.260856484,0.285396989,0.29266825,0.275399006,0.278125729,0.271763375
435039,35,26,7,2013,KAB. BANGKALAN,KLAMPIS,BRAGANG,2.99762496,910,1765.7,0.287,0.314,0.322,0.303,0.306,0.299,0.315495325,0.34517607,0.353970364,0.333083914,0.336381775,0.328686767
436071,35,26,8,2006,KAB. BANGKALAN,SEPULU,KELBUNG,4.57099375,1329.4,2259.1,0.287,0.314,0.322,0.303,0.306,0.299,0.446284194,0.488269118,0.500709096,0.471164149,0.47582914,0.46494416
436121,35,26,14,2008,KAB. BANGKALAN,TRAGAH,DUKO TAMBIN,0.31590355,95.6,176.3,0.287,0.314,0.322,0.303,0.306,0.299,0.032566956,0.035630746,0.036538536,0.034382535,0.034722957,0.033928641
437296,35,26,3,2008,KAB. BANGKALAN,BURNEH,SOBIH,1.98919318,655.3,1011.1,0.287,0.314,0.322,0.303,0.306,0.299,0.203942592,0.223128829,0.22881364,0.215312214,0.217444018,0.212469809
437300,35,26,3,2010,KAB. BANGKALAN,BURNEH,BINOH,3.05604021,873.6,1353.2,0.287,0.314,0.322,0.303,0.306,0.299,0.286356652,0.313296128,0.321278195,0.302320786,0.305314061,0.298329752
437302,35,26,4,2007,KAB. BANGKALAN,KAMAL,PENDABAH,3.27894053,1052.7,1228.5,0.287,0.314,0.322,0.303,0.306,0.299,0.304199759,0.332817855,0.34129729,0.32115863,0.324338419,0.316918912
437303,35,26,5,2010,KAB. BANGKALAN,AROSBAYA,BERBELUK,3.05219711,1018.5,1827.3,0.287,0.314,0.322,0.303,0.306,0.299,0.332619464,0.36391119,0.373182813,0.351162709,0.354639568,0.346526898
437304,35,26,6,2003,KAB. BANGKALAN,GEGER,KATOL BARAT,3.94841011,1143.4,1798,0.287,0.314,0.322,0.303,0.306,0.299,0.37478524,0.410043782,0.420490758,0.395679191,0.399596807,0.390455703
437315,35,26,6,2005,KAB. BANGKALAN,GEGER,LERPAK,7.33956942,2236.2,3347.5,0.287,0.314,0.322,0.303,0.306,0.299,0.708376496,0.775018187,0.794763873,0.747867868,0.755272501,0.737995025
437316,35,26,9,2001,KAB. BANGKALAN,TANJUNG BUMI,PASESEH,3.37809274,1209.3,2308.5,0.287,0.314,0.322,0.303,0.306,0.299,0.395580435,0.432795319,0.443821951,0.417633699,0.421768686,0.412120383
437317,35,26,9,2004,KAB. BANGKALAN,TANJUNG BUMI,LARANGAN TIMUR,3.36425755,990.9,1819.7,0.287,0.314,0.322,0.303,0.306,0.299,0.340190124,0.372194073,0.381676724,0.359155427,0.362711421,0.354414101
437319,35,26,10,2003,KAB. BANGKALAN,KOKOP,BATOKOROGAN,1.42041306,428,635.5,0.287,0.314,0.322,0.303,0.306,0.299,0.135781374,0.148555231,0.152340078,0.143351067,0.144770384,0.141458643
437320,35,26,10,2010,KAB. BANGKALAN,KOKOP,DURJAN,8.25038623,2231.4,3462.4,0.287,0.314,0.322,0.303,0.306,0.299,0.747358107,0.817667058,0.83849934,0.789022671,0.796834776,0.77860653
437321,35,26,13,2001,KAB. BANGKALAN,TANAH MERAH,TANAH MERAH DAJAH,3.41344934,1167.6,1982.4,0.287,0.314,0.322,0.303,0.306,0.299,0.370842447,0.405730064,0.416067135,0.39151659,0.395392992,0.386348054
437327,35,26,16,2004,KAB. BANGKALAN,MODUNG,NEROH,0.90389922,316.9,368.1,0.287,0.314,0.322,0.303,0.306,0.299,0.088553756,0.096884597,0.099352995,0.093490551,0.0944162,0.092256352
437328,35,26,18,2001,KAB. BANGKALAN,GALIS,TELLOK,3.01530326,825,1417.7,0.287,0.314,0.322,0.303,0.306,0.299,0.284245299,0.310986146,0.31890936,0.300091727,0.303062932,0.29613012
437334,35,26,18,2006,KAB. BANGKALAN,GALIS,LONGKEK,3.76009777,1138.8,2164.2,0.287,0.314,0.322,0.303,0.306,0.299,0.392102496,0.428990188,0.439919874,0.413961869,0.418060501,0.408497026
437973,35,26,14,2009,KAB. BANGKALAN,TRAGAH,KETELENG,1.12603091,314.3,524.9,0.287,0.314,0.322,0.303,0.306,0.299,0.106483792,0.116501431,0.11946962,0.112420171,0.113533242,0.110936076
438131,35,26,1,1001,KAB. BANGKALAN,BANGKALAN,MLAJAH,8.91063235,4525.6,3722.5,0.287,0.314,0.322,0.303,0.306,0.299,1.022824418,1.119048318,1.147559103,1.079845989,1.090537533,1.065590596
438136,35,26,2,2003,KAB. BANGKALAN,SOCAH,BILAPORAH,4.81848997,1903.3,2728.4,0.287,0.314,0.322,0.303,0.306,0.299,0.5449699,0.596238845,0.611429644,0.575351497,0.581048046,0.567756098
438142,35,26,7,2006,KAB. BANGKALAN,KLAMPIS,MOARAH,2.21824247,732.9,1163.9,0.287,0.314,0.322,0.303,0.306,0.299,0.230066255,0.251710119,0.258123115,0.242892248,0.245297122,0.23968575
438190,35,26,9,2002,KAB. BANGKALAN,TANJUNG BUMI,BUMI ANYAR,2.57027125,835.8,1281.1,0.287,0.314,0.322,0.303,0.306,0.299,0.260710754,0.28523755,0.292504748,0.275245151,0.277970351,0.271611552
438192,35,26,9,2007,KAB. BANGKALAN,TANJUNG BUMI,TAGUNGGUH,3.91074764,1185.9,1644.3,0.287,0.314,0.322,0.303,0.306,0.299,0.367596096,0.402178307,0.412424888,0.388089258,0.391931726,0.382965967
438201,35,26,11,2010,KAB. BANGKALAN,KWANYAR,PAORAN,1.16138752,329.1,464.6,0.287,0.314,0.322,0.303,0.306,0.299,0.105223146,0.115122187,0.118055237,0.111089244,0.112189138,0.10962272
438235,35,26,12,2003,KAB. BANGKALAN,LABANG,JUKONG,2.52799705,831.6,939.7,0.287,0.314,0.322,0.303,0.306,0.299,0.236084525,0.258294568,0.264875321,0.249246032,0.251713814,0.245955655
438240,35,26,13,2006,KAB. BANGKALAN,TANAH MERAH,KENDABAN,0.93080098,284.5,503.5,0.287,0.314,0.322,0.303,0.306,0.299,0.095184044,0.10413864,0.106791854,0.100490471,0.101485426,0.099163864
438266,35,26,17,2011,KAB. BANGKALAN,KONANG,DURIN BARAT,3.49799774,1026.3,2314.5,0.287,0.314,0.322,0.303,0.306,0.299,0.38141766,0.417300158,0.427932009,0.402681362,0.406668307,0.397365437
438271,35,26,18,2009,KAB. BANGKALAN,GALIS,BANGPENDAH,1.26361421,400.7,713.9,0.287,0.314,0.322,0.303,0.306,0.299,0.132721969,0.145208007,0.148907575,0.140121103,0.14150844,0.138271319
438279,35,26,18,2011,KAB. BANGKALAN,GALIS,PAKA'AN LAOK,2.60409061,751.2,1449.7,0.287,0.314,0.322,0.303,0.306,0.299,0.264443153,0.289321081,0.296692318,0.279185629,0.281949843,0.27550001
442444,35,26,5,2011,KAB. BANGKALAN,AROSBAYA,BUDURAN,1.7747477,602.5,1128.6,0.287,0.314,0.322,0.303,0.306,0.299,0.198857744,0.217565615,0.223108688,0.20994389,0.212022542,0.207172353
442474,35,26,5,2012,KAB. BANGKALAN,AROSBAYA,TAMBEGAN,0.82934291,300.2,490.3,0.287,0.314,0.322,0.303,0.306,0.299,0.092369091,0.101058866,0.103633614,0.097518587,0.098484117,0.096231213
442498,35,26,5,2018,KAB. BANGKALAN,AROSBAYA,PLAKARAN,0.51805108,177.9,309.9,0.287,0.314,0.322,0.303,0.306,0.299,0.056954504,0.062312593,0.063900175,0.060129668,0.060725011,0.059335877
442559,35,26,14,2011,KAB. BANGKALAN,TRAGAH,KEMONING,1.54031806,464.1,676.9,0.287,0.314,0.322,0.303,0.306,0.299,0.146425454,0.160200671,0.164282216,0.154588545,0.156119125,0.152547772
442902,35,26,13,2014,KAB. BANGKALAN,TANAH MERAH,POTER,2.31047708,706.5,1395.7,0.287,0.314,0.322,0.303,0.306,0.299,0.246009325,0.26915306,0.276010463,0.259724131,0.262295657,0.25629543
442905,35,26,8,2002,KAB. BANGKALAN,SEPULU,MANERON,2.75935221,948.2,1472.4,0.287,0.314,0.322,0.303,0.306,0.299,0.291565725,0.318995253,0.32712252,0.30782026,0.310867985,0.303756626
442913,35,26,13,2015,KAB. BANGKALAN,TANAH MERAH,PATEMON,0.59491326,196.4,361,0.287,0.314,0.322,0.303,0.306,0.299,0.064936527,0.071045538,0.072855616,0.068556682,0.069235461,0.067651643
442972,35,26,1,1002,KAB. BANGKALAN,BANGKALAN,KEMAYORAN,5.59864108,2626.3,2471,0.287,0.314,0.322,0.303,0.306,0.299,0.629188221,0.688380145,0.705918492,0.664264917,0.670841797,0.655495743
